en,ru
and it connects them up to a system where they know their whereabouts.,"и это подключает их к системе, где они знают свое местонахождение."
All right.,Все в порядке.
"And, uh, they can put a,","И, э-э, они могут поставить,"
they usually install a video monitor in the house,обычно они устанавливают в доме видеомонитор
"and when the parole officer calls to check on them, they're instructed to turn it on and stand in front of it. So that they can see that this person is actually at home in their house doing what they're supposed to be doing","и когда офицер по условно-досрочному освобождению звонит, чтобы проверить их, им дается указание включить его и встать перед ним. Чтобы они могли видеть, что этот человек на самом деле дома, в их доме, делает то, что они должны делать"
All right.,Все в порядке.
and that's working rather well.,и это работает довольно хорошо.
That's a good system.,Это хорошая система.
"That allows people, to actually continue to be productive members of society while they're, you know, paying back for whatever crime they've committed.","Это позволяет людям на самом деле продолжать быть продуктивными членами общества, в то время как они, знаете ли, расплачиваются за любое преступление, которое они совершили."
"Yeah,","Да,"
instead of being completely penned up.,"вместо того, чтобы быть полностью запертым."
"And that way it would give, you know,","И таким образом это дало бы, вы знаете,"
"the probation department and parole department, they've got to be overloaded with as many criminals as we have here in, in Lubbock.","отдел пробации и условно-досрочного освобождения, они, должно быть, перегружены таким количеством преступников, как у нас здесь, в Лаббоке."
"Oh, yeah,","О, да,"
yeah.,да.
"And that would give, you know,","И это дало бы, вы знаете,"
"at least they don't have to drive all over town trying to find one guy, or trying to see six or seven people.","по крайней мере, им не нужно колесить по всему городу, пытаясь найти одного парня, или пытаться увидеть шесть или семь человек."
Uh-huh.,Угу.
"I, I've really,","Я, я действительно,"
I could go on for hours about the criminal justice system and what I think we ought to do about it.,"Я мог бы часами говорить о системе уголовного правосудия и о том, что, по моему мнению, мы должны с этим делать."
"But, Something that I really don't understand is when someone goes to jail and they have a job in jail and they work, that they should,","Но чего я действительно не понимаю, так это когда кто-то попадает в тюрьму, и у него есть работа в тюрьме, и он работает, что он должен,"
"Sometimes it's pretty messed up,","Иногда это довольно запутанно,"
isn't it.,не так ли?
Uh-huh.,Угу.
"I,","Я,"
"and this may sound cruel,","и это может показаться жестоким,"
but I do not think that they should be allowed cigarettes.,"но я не думаю, что им следует разрешать сигареты."
I mean they're in jail for crying out loud.,"Я имею в виду, что они сидят в тюрьме за то, что громко кричат."
Yeah.,Да.
What do they need cigarettes for?,Для чего им нужны сигареты?
"Well, see","Что ж, видишь"
and there's another thing about the justice system that I don't like,"и есть еще одна вещь в системе правосудия, которая мне не нравится"
"and there's a lot of people that tell me that, that maybe my thoughts are wrong.","и есть много людей, которые говорят мне это, что, возможно, мои мысли неверны."
I came from California,Я приехал из Калифорнии
Uh-huh.,Угу.
"and when you're in jail, they take you out just like they do in Alabama or anywhere else, what they call a chain gang.","и когда ты в тюрьме, они выводят тебя точно так же, как это делают в Алабаме или где-либо еще, то, что они называют цепной бандой."
Uh-huh.,Угу.
And they clean the city parks.,И они убирают городские парки.
"Oh, I think that's a wonderful idea.","О, я думаю, это замечательная идея."
And they clean the city streets.,И они убирают городские улицы.
"But you know, we have criminals in jail that do nothing but sit on their duff all day","Но вы знаете, у нас в тюрьме есть преступники, которые только и делают, что целыми днями сидят на своих вещах"
"and here it costs us seventeen to eighteen thousand dollars a year to support a prisoner,","а здесь содержание заключенного обходится нам в семнадцать-восемнадцать тысяч долларов в год,"
More than that.,Более того.
"and I know,","и я знаю,"
"yeah,","да,"
More than that.,Более того.
but I know families myself that have three and four children in Lubbock that don't make that much.,"но я сам знаю семьи с тремя и четырьмя детьми в Лаббоке, которые зарабатывают не так уж много."
I know.,Я знаю.
"And they're not, you know, they're not doing anything to support themselves, while they're there.","И они не, вы знаете, они ничего не делают, чтобы прокормить себя, пока они там."
"The thing that, the thing that gets me is that while we're supporting them, they're working.","Дело в том, что, что меня привлекает, так это то, что пока мы их поддерживаем, они работают."
Yeah.,Да.
When they get out of jail they get handed all that money.,"Когда они выходят из тюрьмы, им вручают все эти деньги."
Yeah.,Да.
That really ticks me off.,Это действительно выводит меня из себя.
"I think that while they are in jail and they are working, their wages should go,","Я думаю, что пока они находятся в тюрьме и работают, их заработная плата должна повышаться,"
Yeah.,Да.
"like, I don't know,","типа, я не знаю,"
"they could,","они могли бы,"
"some percentage, like eighty-five percent of their wages should go toward their room and board figured on a whatever basis how much it costs to actually support them for a year.","какой-то процент, например восемьдесят пять процентов их заработной платы, должен идти на оплату проживания и питания, исходя из того, сколько на самом деле стоит содержать их в течение года."
"Yeah,","Да,"
"well, Uh-huh.","ну, угу."
See now .,Смотри сейчас.
"And when they get out they should have a, I don't know, you know, some reasonable amount of money to start, like a couple of thousand dollars,","И когда они выйдут, у них должна быть, я не знаю, вы знаете, какая-то разумная сумма денег для начала, например, пара тысяч долларов,"
Yeah.,Да.
"but there should be a limit over which they, that it all goes back to the State.","но должен быть предел, за которым они, чтобы все это возвращалось государству."
"Anything that they've earned while they're in prison should go back to the State except for that, you know, there needs to be some allowance for when someone gets out that they have some money to start with.","Все, что они заработали, находясь в тюрьме, должно вернуться государству, за исключением того, что, знаете ли, должно быть какое-то пособие на случай, если кто-то выйдет на свободу, и у него для начала будет немного денег."
"Yeah,","Да,"
"but at least they would, at least that way they would be helping pay for their own.","но, по крайней мере, они бы это сделали, по крайней мере, таким образом они помогли бы оплатить свои собственные."
"Exactly,","Именно так,"
absolutely.,абсолютно.
"And something else that I would, And something else that I would like to see is, is, uh, victim reimbursement, you know, because they, you know, like you say these guys are in jail","И кое-что еще, что я бы хотел, и кое-что еще, что я хотел бы видеть, это, э-э, возмещение ущерба жертвам, вы знаете, потому что они, вы знаете, как вы говорите, эти парни в тюрьме"
That's the part that I really think we need to change.,"Это та часть, которую, я действительно думаю, нам нужно изменить."
"and they're working,","и они работают,"
"they're getting paid,","им платят,"
"but the guy that they messed over to get there or they stole something from, or beat to death","но парень, с которым они напортачили, чтобы попасть туда, или у которого они что-то украли, или избили до смерти"
"or,","или,"
"Has nothing,","Не имеет ничего,"
right.,верно.
"has nothing, you know.","у него ничего нет, ты же знаешь."
"Our, our victims are victimized, period,","Наши, наши жертвы становятся жертвами, и точка,"
"and the law has no, no, uh, regulations to deal with that.","и в законе нет никаких, э-э-э, правил, чтобы справиться с этим."
Absolutely.,Абсолютно.
"They, they know how to deal with the penal system","Они, они знают, как обращаться с пенитенциарной системой"
"and they know how to deal with the criminal,","и они знают, как поступить с преступником,"
"but they don't know how to deal with the victim because we as citizens, I guess haven't laid anything up there for them to deal with on that aspect.","но они не знают, как поступить с жертвой, потому что мы, как граждане, я полагаю, не предусмотрели для них ничего такого, с чем можно было бы справиться в этом аспекте."
Yeah.,Да.
"But it's,","Но это,"
"but I sure don't,","но я уверен, что не,"
"I, I strongly disagree with any judge passing sentence on a person himself.","Я, я категорически не согласен с тем, чтобы какой-либо судья выносил приговор самому человеку."
Uh-huh.,Угу.
"There that,","Там, что,"
"I think it works much better if it's, if it's the actual jury.","Я думаю, это работает намного лучше, если это... если это настоящие присяжные."
"Yeah,","Да,"
"because, well, see the jury is dealing with the seriousness of the crime,","потому что, ну, видите ли, присяжные имеют дело с серьезностью преступления,"
Uh-huh.,Угу.
"the jury gets to see the whole trial, as does the judge,","присяжные могут видеть весь процесс целиком, как и судья,"
"but you know, if, if they figure there's maybe litigating circumstances, or something like that whereas maybe the judge does, just doesn't care, you committed this crime","но вы знаете, если, если они решат, что, возможно, есть обстоятельства, препятствующие судебному разбирательству, или что-то в этом роде, в то время как, возможно, судье это просто безразлично, вы совершили это преступление"
so I'm just going to throw the book at you.,так что я просто собираюсь швырнуть в тебя книгой.
Uh-huh.,Угу.
"Whereas the jury may have a little, shall we say, sympathy, you know,","В то время как присяжные могут испытывать некоторое, скажем так, сочувствие, вы знаете,"
"he did this,","он сделал это,"
"but, you know, why did he do this,","но, вы знаете, почему он это сделал,"
"Yeah,","Да,"
"in some, cases it would work that way.",в некоторых случаях это сработало бы именно так.
"is there, is there a basis for it.","есть ли, есть ли для этого основа."
In some cases it would work the other way.,В некоторых случаях это сработало бы по-другому.
"Yeah,","Да,"
"in some cases where the judge says okay, I'll give you, you know, two to three years","в некоторых случаях, когда судья говорит ""хорошо"", я даю вам, знаете ли, от двух до трех лет"
"and,","и,"
"The jury would, would, slam them","Присяжные бы, непременно бы их прихлопнули"
"and, and I think that, that the jury probably has more of a right to sentence than the judge all the time.","и, и я думаю, что присяжные, вероятно, имеют больше права выносить приговор, чем судья все время."
Yeah.,Да.
"Well, they have a stronger debate, too, because there's twelve people there.","Что ж, у них тоже более сильные дебаты, потому что там двенадцать человек."
They have to decide whether or not he's guilty,"Они должны решить, виновен он или нет"
"and then they can sit in at the same time and decide what his punishment would be,","и тогда они смогут присутствовать одновременно и решить, каким будет его наказание,"
Uh-huh.,Угу.
and you'd have more than one person's input on it.,и у вас был бы вклад в это не одного человека.
Yeah.,Да.
I think that's probably a much fairer way.,"Я думаю, что это, вероятно, гораздо более справедливый способ."
"And, you know, we're supposed to be, and I quote, in a democratic society.","И, вы знаете, мы должны быть, я цитирую, в демократическом обществе."
"So, you know, if you can find me guilty, then you ought to be able to pass sentence.","Итак, вы знаете, если вы можете признать меня виновным, тогда вы должны быть в состоянии вынести приговор."
Yeah.,Да.
"And a lot of jurors,","И множество присяжных,"
"not that I know of,","насколько я знаю, нет,"
"but, you know, a lot of jurors may just sit there and say, yeah, he's guilty,","но, знаете, многие присяжные могут просто сесть и сказать: да, он виновен,"
"but I don't have to deal with it from here, you know,","но мне не нужно разбираться с этим отсюда, ты знаешь,"
so the judge takes care of all of that.,так что судья обо всем этом позаботится.
Yeah.,Да.
"It might be more,","Это могло бы быть больше,"
"it would be more work for the jury,","это дало бы больше работы присяжным,"
but it would be a more responsible way to deal with it.,но это был бы более ответственный способ справиться с этим.
Yeah,Да
"it would,","это был бы,"
"yeah,","да,"
serving on the jury would be definitely more you'd have to be a definitely more responsible person.,"быть членом жюри было бы определенно интереснее, вам пришлось бы быть определенно более ответственным человеком."
"The thing that I, I don't really like,","То, что мне, мне на самом деле не нравится,"
"I, I don't know, if, uh, a lot of jury selection processes that I've seen have been a,","Я, я не знаю, были ли, э-э, многие процессы отбора присяжных, которые я видел,,"
Okay.,Хорошо.
Hi.,Привет.
Hi.,Привет.
Okay.,Хорошо.
You want to start?,Ты хочешь начать?
"Um, yeah.","Эм, да."
Sure.,Конечно.
"Um, I think, I think we should have a balanced budget even if it means that services are dramatically cut back.","Хм, я думаю, я думаю, что у нас должен быть сбалансированный бюджет, даже если это означает, что услуги резко сократятся."
"If you can't pay for it, you shouldn't have it.","Если вы не можете за это заплатить, вы не должны этого иметь."
Period.,Период.
"And,","И,"
That is very true.,Это очень верно.
That's just.,Это просто.
"However, our whole economy is based on loans.",Однако вся наша экономика основана на кредитах.
Uh-huh.,Угу.
"Uh, uh, but, bet right this moment, you probably have several loans out","Э-э-э, но, держу пари, прямо сейчас у вас, вероятно, есть несколько ссуд на выдачу"
or you have borrowed money against your credit card or something,или вы заняли деньги под залог своей кредитной карты или что-то в этом роде
"Well,","Что ж,"
Master Charge.,Главный заряд.
"I don't have a Master Charge,","У меня нет главного заряда,"
thank you,спасибо
"But, see our whole system is built on owing not borrowing.","Но, видите ли, вся наша система построена на долге, а не на заимствовании."
Right.,Верно.
"But, that's the problem, see.","Но, видите ли, в этом-то и проблема."
Our system shouldn't be based on owing and borrowing and all that.,"Наша система не должна основываться на долгах, заимствованиях и всем таком."
"Uh, true.","Э-э, верно."
"But, uh, uh, without it, people wouldn't be able to own automobiles","Но, э-э-э, без этого люди не смогли бы владеть автомобилями"
or they wouldn't be able to own a house.,иначе они не смогли бы владеть домом.
"Yes,","Да,"
they would.,они бы так и сделали.
They just wouldn't be able to own the kind of automobiles that they think they deserve to own. Or the kind of homes that we think we deserve to own.,"Они просто не смогли бы владеть теми автомобилями, которые, по их мнению, они заслуживают. Или те дома, которые, по нашему мнению, мы заслуживаем иметь."
"We might have to, you know, just be able to,","Возможно, нам придется, вы знаете, просто быть в состоянии,"
"I think, if we, a generation went without debt, then the next generation,","Я думаю, если мы, поколение, обходились без долгов, то следующее поколение,"
"like, if, if our, our generation,","например, если, если наше, наше поколение,"
"my husband and I, we're twenty-eight, if we lived our lives and didn't become, you know, indebted, like you know, our generation before us, that, um, the budget would balance. And that we became accustomed to living with what we could afford, which we wouldn't be destitute,","мы с мужем, нам по двадцать восемь, если бы мы жили своей жизнью и не были, знаете ли, в долгу, как, знаете, наше поколение до нас, бюджет был бы сбалансирован. И что мы привыкли жить на то, что могли себе позволить, в чем не были бы обездолены,"
"I mean, we wouldn't be living on the street, by any means.","Я имею в виду, мы бы ни в коем случае не жили на улице."
"But just compared to how spoiled we are, we would be in our own minds,","Но просто по сравнению с тем, насколько мы избалованы, мы были бы сами по себе,"
"but I feel like the generation after us would,","но я чувствую, что поколение после нас было бы,"
"oh, man, it would be so good.","о, черт, это было бы так здорово."
It would be so much better.,Это было бы намного лучше.
"It wouldn't be perfect,","Это было бы не идеально,"
"but then, they could learn to live with what they could afford to save to buy.","но тогда они могли бы научиться жить с тем, что могли позволить себе накопить на покупку."
"And if you want a nicer car than that, well, you save a little longer.","И если вы хотите машину получше, что ж, вы сэкономите немного больше."
"Well, now I agree, uh I agree with you one hundred percent.","Что ж, теперь я согласен, э-э, я согласен с тобой на сто процентов."
Uh-huh.,Угу.
I'm just taking the other side so we'll have a discussion here.,"Я просто принимаю другую сторону, поэтому мы проведем дискуссию здесь."
"Uh, but I still go to right back to what I said.","Э-э, но я все равно возвращаюсь к тому, что я сказал."
When is the time you had fifteen thousand dollars all at one time to go out and buy an automobile?,"Когда у вас в последний раз было пятнадцать тысяч долларов, чтобы пойти и купить автомобиль?"
"But, see, we made poor choices in college.","Но, видите ли, мы сделали неправильный выбор в колледже."
"We took out two,","Мы достали два,"
"both of us had twenty thousand dollars in loans, for student loans","у нас обоих было по двадцать тысяч долларов в долгах, на студенческие ссуды"
Uh-huh.,Угу.
"and I look back on that,","и я оглядываюсь назад на это,"
and I bought shoes.,и я купила туфли.
I went shopping.,Я ходила по магазинам.
I did not need that money.,Мне не нужны были эти деньги.
I did not need it.,Мне это было не нужно.
I didn't need it.,Мне это было не нужно.
I shouldn't have even qualified to get it.,"Я даже не должен был проходить квалификацию, чтобы получить это."
I didn't need it.,Мне это было не нужно.
"And it would have been a little rough,","И это было бы немного грубо,"
"I might have eaten some bologna instead of roast beef out of the deli,","Я мог бы съесть немного болонской колбасы вместо ростбифа из гастронома,"
but I did not need it.,но мне это было не нужно.
"And as I look back now, now we're paying that back.","И когда я сейчас оглядываюсь назад, теперь мы расплачиваемся за это."
"I told my son, if you have to live in the ghetto to go to college, do it,","Я сказал своему сыну: если тебе нужно жить в гетто, чтобы поступить в колледж, сделай это,"
but don't take out ten thousand dollars in loans.,но не берите взаймы десять тысяч долларов.
Don't do it.,Не делай этого.
"And I don't, I hope, don't think he'll have to do that","И я не думаю, я надеюсь, не думаю, что ему придется это делать"
"but, I just feel like if we didn't have those loans, we could have saved in the last five years the money for that,","но я просто чувствую, что если бы у нас не было этих кредитов, мы могли бы сэкономить за последние пять лет деньги на это,"
"and I believe we would have, because God's really put it in our heart not to get in debt, you know.","и я верю, что мы бы так и сделали, потому что Бог действительно вложил это в наше сердце, чтобы мы не влезали в долги, вы знаете."
"But we have friends in church that do this on a constant basis, that are totally debt free.","Но у нас есть друзья в церкви, которые делают это на постоянной основе, у которых полностью нет долгов."
And they pay cash for everything they buy.,"И они платят наличными за все, что покупают."
Uh-huh.,Угу.
"Including new vans,","Включая новые фургоны,"
"and, so, so I guess, I've seen it done","и, так что, так что, я думаю, я видел, как это делается"
"and I know you can do it, you know.","и я знаю, что ты можешь это сделать, ты знаешь."
But you have to drive that old car until you get that money saved up for that new van.,"Но тебе придется ездить на этой старой машине, пока ты не накопишь денег на новый фургон."
And that's where Americans don't like to do it.,И именно здесь американцы не любят этого делать.
"And so and we don't want to cut back our services from the government, because we're spoiled.","И поэтому мы не хотим сокращать наши услуги от правительства, потому что мы избалованы."
"Well, I have one way to suggest reducing the budget.","Что ж, у меня есть один способ предложить сократить бюджет."
What?,Что?
Very simple.,Очень просто.
"Just take all these civil service employees, and, uh, uh, take some of those holidays away from them, like Columbus Day, President's Day, I mean, they, they get all these days off.","Просто возьмите всех этих сотрудников государственной службы и, э-э-э, отнимите у них некоторые из этих праздников, например, День Колумба, День президента, я имею в виду, у них, у них есть все эти выходные."
I know.,Я знаю.
Yeah.,Да.
"Now give them,   what a, a week, I think we here at T I get a total of eleven a year.","Теперь дайте им, сколько угодно, неделю, я думаю, мы здесь, в T, получаем в общей сложности одиннадцать в год."
I know.,Я знаю.
Uh-huh.,Угу.
"And that's about, uh, three or four less than civil servants get.","И это примерно, э-э, на три или четыре меньше, чем получают государственные служащие."
Uh-huh.,Угу.
"Now just look at that money the government could save if they didn't have all of those days off, all those holidays.","Теперь просто посмотрите на те деньги, которые правительство могло бы сэкономить, если бы у них не было всех этих выходных, всех этих праздников."
"Yeah,","Да,"
that is true.,это правда.
Because I always think the mail never comes on these days,"Потому что я всегда думаю, что почта в эти дни никогда не приходит"
"and you're like, well, what is it","и ты такой: ""ну, что это"
You don't even know it's a holiday,"Ты даже не знаешь, что это праздник"
"Well, now don't forget the mail is something else again.","Ну, а теперь не забывай, что почта - это опять что-то другое."
"That has nothing,","Это ничего не значит,"
they're not civil servant people.,они не государственные служащие.
"But isn't it federal, in the federal budget?","Но разве это не федеральное, в федеральном бюджете?"
"No,","Нет,"
"no,","нет,"
they have their own budget they go by.,"у них есть свой собственный бюджет, которым они руководствуются."
"But isn't it part of our income,","Но разве это не часть нашего дохода,"
it's not part of our taxes?,это не входит в наши налоги?
No.,Нет.
It's not?,Это не так?
That's why the price of mailing a letter keeps going up.,Вот почему цена отправки письма продолжает расти.
"That's why it keeps going up, uh?","Вот почему он продолжает расти, а?"
"You know, I could I can remember the days when it cost only three cents to mail, uh, uh, uh, a letter.","Знаешь, я мог бы... Я помню те дни, когда отправить письмо стоило всего три цента."
That's another topic,Это уже другая тема
"Those stamps are valuable, now.",Сейчас эти марки очень ценны.
Yeah.,Да.
"They probably,","Они, вероятно,,"
"hey,","эй,"
I ought to go looking through some of my old mail.,Мне следует просмотреть кое-что из моей старой почты.
That's funny.,Это забавно.
"Yeah,","Да,"
"and that is a good short term thing, though.",и все же это хорошая краткосрочная вещь.
"That little things like that, that","Что такие мелочи, как это, что"
"overall, though, I just think we're just going to, I don't know, see,","в целом, однако, я просто думаю, что мы просто собираемся, я не знаю, увидеть,"
"I know,","Я знаю,"
"I guess I'm kind of leery of this topic, because I know that Bush is real for the new world order. The one world government, and alleviating all, you know, national debt between all of the nations.","Наверное, я несколько настороженно отношусь к этой теме, потому что знаю, что Буш реален для нового мирового порядка. Единое мировое правительство и облегчение всех, вы знаете, национальных долгов между всеми нациями."
"But I see that to be a potential power problem later, with, um, who's going to be in charge with this new world order.","Но я вижу, что это потенциальная проблема власти позже, с тем, кто будет отвечать за этот новый мировой порядок."
"And I, you know, I'm uncomfortable with that much power being in one place.","И я, вы знаете, мне неуютно от того, что столько власти сосредоточено в одном месте."
"But, I know, we already have a new money system.","Но, я знаю, у нас уже есть новая денежная система."
"We already have new bills printed, for,","У нас уже напечатаны новые счета, для,"
"the U S Treasury already has our new bills printed for new currency,","Казначейство США уже напечатало наши новые купюры в новой валюте,"
and I've seen them,и я видел их
"And so I know that the long-term vision for the U S government is to alleviate all national debts and to start over afresh,","И поэтому я знаю, что долгосрочное видение правительства США состоит в том, чтобы уменьшить все государственные долги и начать все сначала,"
"but I'm concerned with who's going to have the power over this new world order that they keep talking about, you know.","но меня беспокоит, у кого будет власть над этим новым мировым порядком, о котором они продолжают говорить, вы знаете."
That's a lot of power for one or two people to have.,Это большая власть для одного или двух человек.
"And so, um, I guess because I,","И так, эм, я думаю, потому что я,"
"I guess,","Я думаю,"
"in fact, I know what their long-term vision is.","на самом деле, я знаю, каково их долгосрочное видение."
"I'm kind of like, you know, yeah, the only answer is to start over or to totally change our lifestyles.","Я такой, знаешь, да, единственный ответ - начать все сначала или полностью изменить наш образ жизни."
And I don't think Americans are willing to do it.,"И я не думаю, что американцы готовы это сделать."
"Well, what about, uh, uh, sending all this money overseas supporting other governments, third world governments.","Ну, а как насчет того, чтобы отправить все эти деньги за границу, поддерживая другие правительства, правительства третьего мира?"
How do you feel about that?,Что вы думаете по этому поводу?
"I don't, I don't feel we should loan them money.","Я не, я не чувствую, что мы должны одалживать им деньги."
"If I, I wish our leaders were really seeking the Lord on these things,","Если бы я, я хотел, чтобы наши лидеры действительно искали Господа в этих вещах,"
"and if we feel led to give a country money to help them, fine.","и если мы чувствуем побуждение дать стране деньги, чтобы помочь ей, прекрасно."
But I don't feel we should be loaning money like that.,"Но я не чувствую, что мы должны одалживать деньги подобным образом."
"I mean, it doesn't work, I mean.","Я имею в виду, это не работает, я имею в виду."
"Well, in so many cases, it's not a loan,","Ну, во многих случаях это не кредит,"
it's just a give away.,это просто подарок судьбы.
"But it's not, but it's not set up as a giveaway.","Но это не так, но это не предназначено для раздачи."
"If it were set up as giveaway,","Если бы это было сделано как розыгрыш,"
"and it was something, that, I mean, our, our President and our leaders could be seeking God saying, God is it your will for us to bless this nation with this money,","и это было нечто такое, что, я имею в виду, наш президент и наши лидеры могли бы искать Бога, говоря: ""Боже, твоя ли воля, чтобы мы благословили эту нацию этими деньгами,"
"is it your will, this money and your will for us to give to them,","это ваша воля, эти деньги и ваша воля, чтобы мы отдали им,"
"and I believe if we gave it, no strings attached that God would bless our nation.","и я верю, что если бы мы отдали это без всяких условий, Бог благословил бы нашу нацию."
"But because we're, our motive is interest, our motive is not pure, it just backfires,","Но поскольку мы, наш мотив - это интерес, наш мотив не чист, это просто приводит к обратным результатам,"
"I mean, none of these nations have paid us back.","Я имею в виду, что ни одна из этих стран не отплатила нам тем же."
"But, you understand, it's, I guess it's a principle of giving and receiving.","Но, вы понимаете, это, я думаю, принцип отдачи и получения."
"You give it, no strings attached","Ты даешь это, без всяких условий"
"and they may never give you anything back,","и они могут никогда ничего вам не вернуть,"
"but because there's no strings attached, it like gives them a freedom to give us something back.","но поскольку здесь нет никаких условий, это как бы дает им свободу дать нам что-то взамен."
"And it might not be money,","И это могут быть не деньги,"
"it might be, um, no taxes on our things, our computers going into their nation,","это может быть, эм, отсутствие налогов на наши вещи, наши компьютеры, поступающие в их страну,"
"it might come back in another way,","это может вернуться другим способом,"
but it would be come back.,но это было бы возвращением.
"But because we're loaning it, I think that's the problem.","Но поскольку мы даем его взаймы, я думаю, в этом и проблема."
And I don't mean give it to everybody that asks.,"И я не имею в виду давать это каждому, кто попросит."
Use a lot of discernment.,Проявляйте большую проницательность.
Don't give money to every nation.,Не давайте денег каждой стране.
"You know, what I'm saying,","Ты знаешь, о чем я говорю,"
"I think we're loaning money to too many nations,","Я думаю, что мы одалживаем деньги слишком многим странам,"
"but I think if we gave to a few select ones, that really needed it, that it would work out better for us and for them.","но я думаю, что если бы мы дали нескольким избранным, которые действительно в этом нуждались, это сработало бы лучше и для нас, и для них."
And so now we have all these nations that owe us all this money,"И вот теперь у нас есть все эти страны, которые должны нам все эти деньги"
"and so I just think, we're never going to get that back, you know.","и поэтому я просто думаю, что мы никогда этого не вернем, ты знаешь."
Do you understand?,Ты понимаешь?
No.,Нет.
"That, that's true.","Это, это правда."
"I, I understand that France still owes us money from World War I.","Я, я понимаю, что Франция все еще должна нам деньги за Первую мировую войну."
Uh-huh.,Угу.
"And, uh, World War Two debts have never been repaid.","И, э-э, долги за Вторую мировую войну так и не были выплачены."
I think the U S just wrote them all off.,"Я думаю, что США просто списали их всех со счетов."
Yeah.,Да.
"And said, well, we'll cancel it just like they did to the, that Polish debt here, uh, last week.","И сказали, что ж, мы аннулируем это точно так же, как они сделали с тем польским долгом здесь, э-э, на прошлой неделе."
Yeah.,Да.
"Uh, uh, half the countries of the world simply canceled the Poland debts to help them.","Э-э-э, половина стран мира просто аннулировала долги Польши, чтобы помочь им."
Right.,Верно.
"Long, long term though, do you think it would best to see a one world, you know,","Однако в долгосрочной перспективе, как ты думаешь, было бы лучше увидеть единый мир, понимаешь,"
you can't alleviate all national debts,вы не можете погасить все государственные долги
or do you think it would be better for our leaders to just start seeking God on how to turn our nation around financially?,"или вы думаете, что нашим лидерам было бы лучше просто начать искать Бога о том, как изменить нашу нацию в финансовом отношении?"
That's my opinion.,Это мое мнение.
My opinion's the latter.,Мое мнение - последнее.
Uh-huh.,Угу.
"Well, uh, I've got to respect your opinion.","Что ж, э-э, я должен уважать твое мнение."
You have some solid ideas.,У вас есть несколько веских идей.
Uh-huh.,Угу.
I know.,Я знаю.
What's yours?,Что у тебя?
Do you agree,Вы согласны
or do you disagree,или вы не согласны
"or I mean, what do you think long term?","или я имею в виду, что вы думаете о долгосрочной перспективе?"
"Well, I don't believe in a single government or a single control for the world.","Ну, я не верю в единое правительство или единый контроль над миром."
